TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,day_of_week,weeekday,date,month,TEMPRETURE,DEW,PRECIPITATION,RH,WIND SPD,WIND DIR
3,1,0,0,0,0,0,1,0,1,6,0,31,12,11,-3,0,53,8.1,310
4,0,0,0,0,0,0,0,0,1,6,0,31,12,12,-2,0,52,6.9,300
5,0,0,0,0,0,0,0,0,2,6,0,31,12,12,-2,0,52,3.5,-1
5,0,0,0,0,0,0,0,0,1,6,0,31,12,12,-2,0,52,3.5,-1
5,0,0,0,0,0,0,0,0,1,6,0,31,12,12,-2,0,52,3.5,-1
8,0,0,0,0,0,0,0,0,1,6,0,31,12,13,0,0,55,6.9,300
8,0,0,0,0,0,0,0,0,1,6,0,31,12,13,0,0,55,6.9,300
8,0,0,0,0,0,0,0,0,3,6,0,31,12,13,0,0,55,6.9,300
8,0,0,0,0,0,0,0,0,1,6,0,31,12,13,0,0,55,6.9,300
9,0,0,0,0,0,0,0,0,0,6,0,31,12,13,0,0,55,4.6,-1
9,1,0,1,0,0,0,0,0,0,6,0,31,12,13,0,0,55,4.6,-1
9,0,0,0,0,0,0,0,0,0,6,0,31,12,13,0,0,55,4.6,-1
9,0,0,0,0,0,0,0,0,1,6,0,31,12,13,0,0,55,4.6,-1
9,0,0,0,0,0,0,0,0,0,6,0,31,12,13,0,0,55,4.6,-1
0,0,0,0,0,0,0,0,0,0,5,0,30,12,12,-4,0,48,8.1,310
0,0,0,0,0,0,0,0,0,3,5,0,30,12,12,-4,0,48,8.1,310
0,0,0,0,0,0,0,0,0,2,5,0,30,12,12,-4,0,48,8.1,310
10,0,0,0,0,0,0,0,0,1,5,0,30,12,15,0,0,50,5.8,-1
10,0,0,0,0,0,0,0,0,0,5,0,30,12,15,0,0,50,5.8,-1
10,3,0,0,0,0,0,3,0,0,5,0,30,12,15,0,0,50,5.8,-1
10,0,0,0,0,0,0,0,0,1,5,0,30,12,15,0,0,50,5.8,-1
11,0,0,0,0,0,0,0,0,2,5,0,30,12,16,1,0,51,8.1,310
11,0,0,0,0,0,0,0,0,1,5,0,30,12,16,1,0,51,8.1,310
11,0,0,0,0,0,0,0,0,1,5,0,30,12,16,1,0,51,8.1,310
11,0,0,0,0,0,0,0,0,1,5,0,30,12,16,1,0,51,8.1,310
11,6,0,0,0,0,0,6,0,0,5,0,30,12,16,1,0,51,8.1,310
11,0,0,0,0,0,0,0,0,1,5,0,30,12,16,1,0,51,8.1,310
11,0,0,0,0,0,0,0,0,0,5,0,30,12,16,1,0,51,8.1,310
11,1,0,0,0,0,0,1,0,0,5,0,30,12,16,1,0,51,8.1,310
11,0,0,0,0,0,0,0,0,2,5,0,30,12,16,1,0,51,8.1,310
12,1,0,1,0,0,0,0,0,0,5,0,30,12,19,1,0,45,6.9,270
12,0,0,0,0,0,0,0,0,0,5,0,30,12,19,1,0,45,6.9,270
12,0,0,0,0,0,0,0,0,0,5,0,30,12,19,1,0,45,6.9,270
12,0,0,0,0,0,0,0,0,1,5,0,30,12,19,1,0,45,6.9,270
12,2,0,0,0,0,0,2,0,0,5,0,30,12,19,1,0,45,6.9,270
12,0,0,0,0,0,0,0,0,1,5,0,30,12,19,1,0,45,6.9,270
12,0,0,0,0,0,0,0,0,1,5,0,30,12,19,1,0,45,6.9,270
13,0,0,0,0,0,0,0,0,1,5,0,30,12,21,2,0,43,3.5,-1
